code,cuit,name,votes
2,30528940931,COOP. AGRIC. GANAD. LTDA. DE ACEVEDO,5
3,30529717233,COOP. AGROP. DE ALCORTA LTDA.,1
5,30533553555,SOC.COOP. AGROP. DE ALMAFUERTE LDA,2
7,33526383309,"SOC.COOP. ""UNION POPULAR"" LTDA.",6
9,33533717999,COOP. AGROPEC. DE ARMSTRONG LTDA,1
11,33543617119,COOP. AGROP MIXTA IRIGOYEN LTDA,5
13,30529478964,COOP. LTDA. AGR. GAN.DE SUNCHALES,2
15,30526896110,COOP. AGRIC. GAN. LTDA. DE ASCENSION,4
19,30511567455,PRODUC. RURALES DEL SUD COOP. AGROP,5
29,30533752035,COOP. ARROCERA DE S. SALVADOR LTDA,6
32,30529251331,COOP. AGRIC.MIXTA LTDA. C. GOMEZ,5
36,33525427639,COOP. AGROP. LTDA. DE CARABELAS,1
37,30530711184,COOP. AGRIC. AGR. UNIDOS LTDA,3
38,33530143959,COOP. AGRIC. GAN. LTDA. DE A. ALSINA,2
41,30530583534,COOP. AGROP. DE CARMEN DE ARECO L.,3
46,30581856942,GRAN. Y ELEV. ARG. DE COLON S.C.L.,5
51,33525689099,COOP. AGRICOLA CONESA LTDA.,2
59,30507878365,COOP. DEFENSA DE AGRICULTORES LT,4
64,33503225099,LA EMANCIPACIONS. C. MIXTA LTDA,6
67,30540904061,COOP. AGROPECUARIA DE DOBLAS LTDA,2
69,30530643766,"COOP. AGRIC.DE ""EL ARBOLITO"" LT",1
71,30531205991,COOP. AGROP. UNIFIC. LTDA. DE ELORTONDO,5
75,30533342201,COOP. AGRC. GAN. LDA DE ESPARTILLAR,4
77,30501912405,UNION AGRICOLA DE AVELLANEDA COOP. L,6
82,30527151453,COTAGRO COOP. AGROP. LTDA.,1
86,30526151794,COOP. AGRICOLA DE GRAL.ROJO LTDA,1
87,30526535282,S.C. AGRIC. GANAD. LTDA. G. S. MARTIN,4
97,33522332459,"COOP. AGRIC.""LA VENCEDORA"" LTDA",2
106,30503608975,LIGA AGRICOLA GANADERA COOP. LTDA,1
108,30511534492,COOP. AGROP. UNION DE J.POSSE L.,4
