code,cuit,name,votes,substitutes,CAR,CAR Nombre;codigo_verificador
2,30528940931,COOP. AGRIC. GANAD. LTDA. DE ACEVEDO,5,5,4,Norte de Buenos Aires;76WVG
3,30529717233,COOP. AGROP. DE ALCORTA LTDA.,1,2,3,Centro y Sur de Santa Fe;51CYD
5,30533553555,SOC.COOP. AGROP. DE ALMAFUERTE LDA,2,5,5,Córdoba;2UD1C
"7,33526383309,""SOC.COOP. """"UNION POPULAR"""" LTDA."",6,4,5,Córdoba";VL716
9,33533717999,COOP. AGROPEC. DE ARMSTRONG LTDA,1,5,3,Centro y Sur de Santa Fe;CPYHX
11,33543617119,COOP. AGROP MIXTA IRIGOYEN LTDA,5,1,3,Centro y Sur de Santa Fe;9ENKB
13,30529478964,COOP. LTDA. AGR. GAN.DE SUNCHALES,2,5,1,Norte de Santa Fé;X501Y
15,30526896110,COOP. AGRIC. GAN. LTDA. DE ASCENSION,4,3,4,Norte de Buenos Aires;8F5UT
"19,30511567455,PRODUC. RURALES DEL SUD COOP. AGROP,5,6,6,""SO Bs. Aires, La Pampa y Río Negro""";VPTLQ
29,30533752035,COOP. ARROCERA DE S. SALVADOR LTDA,6,2,2,Entre Ríos;L4QCC
32,30529251331,COOP. AGRIC.MIXTA LTDA. C. GOMEZ,5,2,3,Centro y Sur de Santa Fe;XNJOJ
36,33525427639,COOP. AGROP. LTDA. DE CARABELAS,1,2,4,Norte de Buenos Aires;Z5WCU
37,30530711184,COOP. AGRIC. AGR. UNIDOS LTDA,3,4,3,Centro y Sur de Santa Fe;3OZYT
"38,33530143959,COOP. AGRIC. GAN. LTDA. DE A. ALSINA,2,5,6,""SO Bs. Aires, La Pampa y Río Negro""";GQOH8
41,30530583534,COOP. AGROP. DE CARMEN DE ARECO L.,3,3,4,Norte de Buenos Aires;Z8HJD
46,30581856942,GRAN. Y ELEV. ARG. DE COLON S.C.L.,5,5,4,Norte de Buenos Aires;VUFAS
51,33525689099,COOP. AGRICOLA CONESA LTDA.,2,4,4,Norte de Buenos Aires;8ZJ5U
59,30507878365,COOP. DEFENSA DE AGRICULTORES LT,4,2,4,Norte de Buenos Aires;ORFHI
"64,33503225099,LA EMANCIPACIONS. C. MIXTA LTDA,6,1,6,""SO Bs. Aires, La Pampa y Río Negro""";RANBP
"67,30540904061,COOP. AGROPECUARIA DE DOBLAS LTDA,2,2,6,""SO Bs. Aires, La Pampa y Río Negro""";J99JB
"69,30530643766,""COOP. AGRIC.DE """"EL ARBOLITO"""" LT"",1,5,4,Norte de Buenos Aires";3KVG2
71,30531205991,COOP. AGROP. UNIFIC. LTDA. DE ELORTONDO,5,6,3,Centro y Sur de Santa Fe;Y8CCE
"75,30533342201,COOP. AGRC. GAN. LDA DE ESPARTILLAR,4,3,6,""SO Bs. Aires, La Pampa y Río Negro""";D3EFB
77,30501912405,UNION AGRICOLA DE AVELLANEDA COOP. L,6,1,1,Norte de Santa Fé;433Z4
82,30527151453,COTAGRO COOP. AGROP. LTDA.,1,3,5,Córdoba;JSLMS
86,30526151794,COOP. AGRICOLA DE GRAL.ROJO LTDA,1,2,4,Norte de Buenos Aires;YN5BQ
"87,30526535282,S.C. AGRIC. GANAD. LTDA. G. S. MARTIN,4,6,6,""SO Bs. Aires, La Pampa y Río Negro""";6H4GU
"97,33522332459,""COOP. AGRIC.""""LA VENCEDORA"""" LTDA"",2,6,5,Córdoba";RN5XR
106,30503608975,LIGA AGRICOLA GANADERA COOP. LTDA,1,3,4,Norte de Buenos Aires;K3AJT
108,30511534492,COOP. AGROP. UNION DE J.POSSE L.,4,6,5,Córdoba;X46X0
"112,30564188804,""COOP. AGROPEC.""""LA SEGUNDA"""" LTDA"",1,1,7,Sudeste Buenos Aires";6PJXU
"116,30534362168,AGRONEXO COOP. AGRIC. GANAD. DE LAR,4,2,6,""SO Bs. Aires, La Pampa y Río Negro""";6B8IE
122,30526655709,UNION AGRIC. DE LEONES S.C.LTDA.,5,2,5,Córdoba;9OLP2
125,30508378765,COOP. AGROPECUARIA DE LOPEZ LTDA,2,4,3,Centro y Sur de Santa Fe;B3BXJ
128,30508743528,COOP. RURAL DE GRAL. VIAMONTE LTDA,4,4,4,Norte de Buenos Aires;A79FM
"129,30532620917,ATREUCO COOP. AGROP. LTDA.,6,4,6,""SO Bs. Aires, La Pampa y Río Negro""";NJSU8
130,30530920697,COOP. AGROP.DE MALABRIGO LTDA.,6,4,1,Norte de Santa Fé;G1FV5
133,30532734912,COOP. AGROP.GRAL.PAZ DE M.JUAREZ LT,1,2,5,Córdoba;VKO39
135,30532347110,COOP. AGRIC. MIXTA DE MARGARITA LTDA,1,6,1,Norte de Santa Fé;AGNIS
"137,30507119235,""COOP. AGRIC. LTDA. """"LA UNION"""" DE ALFON"",1,6,4,Norte de Buenos Aires";T4QWE
139,30525418762,COOP. AGRIC. LTDA. M. CASCALLARES,2,5,7,Sudeste Buenos Aires;O6FRV
142,30508127495,COOP. AGRIC. GAN.DE MORTEROS LTDA.,6,1,1,Norte de Santa Fé;6GQ9W
"143,30506957970,""COOP. AGROP. """"GRAL NECOCHEA"""" LTDA."",1,4,7,Sudeste Buenos Aires";H7NMI
147,30501838329,COOP. AGRIC. DE OBERA LTDA.,1,2,2,Entre Ríos;RFO8D
149,33525503629,COOP. AGRARIA LTDA.DE OLAVARRIA,5,2,7,Sudeste Buenos Aires;NQBQZ
"154,33529300099,COOP. AG. GAND. PATAGONES Y VIEDMA,2,2,6,""SO Bs. Aires, La Pampa y Río Negro""";U2WBZ
155,30530750597,COOP. AGROP. LTDA. DE MAXIMO PAZ,4,4,3,Centro y Sur de Santa Fe;N82L7
"162,30525288826,LA ALIANZA COOP. AGRIC. GANAD.LTDA,3,2,6,""SO Bs. Aires, La Pampa y Río Negro""";5E7CC
"164,30533440300,""COOP. AGROP. """"POZO DEL MOLLE"""" LTDA"",1,5,5,Córdoba";HVFSQ
"165,33526349569,COOP. AGRIC. GANAD. LTDA DE PUAN,4,1,6,""SO Bs. Aires, La Pampa y Río Negro""";H30W6
171,30527921992,UNION AGRIC. DE ROMANG COOP. LTDA,4,3,1,Norte de Santa Fé;265CJ
173,30530985624,COOP. FED. AG. GAN. DE SAN JUSTO LTD,4,3,1,Norte de Santa Fé;AH553
177,30530144018,COOP. AGROP. DE S.A. DE ARECO LTDA.,3,1,4,Norte de Buenos Aires;1LIZ3
185,30528180112,COOP. AGRIC. Y CONS. LTDA. STA. ROSA,2,2,1,Norte de Santa Fé;IY4SV
"189,30533418194,""COOP. AGRIC. GAN. LTDA. """"SAN MIGUEL"""""",1,2,6,""SO Bs. Aires, La Pampa y Río Negro""";SS5ZR
193,30507964768,COOP. AGR. U Y FZA. S. ISABEL Y TEOD,5,6,3,Centro y Sur de Santa Fe;M92T3
200,33511642219,AGRIC. UNIDOS DE TANCACHA C.LTDA,6,6,5,Córdoba;K0NLE
201,30508360645,COOP. AGROPECUARIA DE TANDIL LTDA,3,5,7,Sudeste Buenos Aires;PEEMG
207,30526111393,COOP. AGRARIA DE T.ARROYOS LTDA.,6,2,7,Sudeste Buenos Aires;PAXZF
"209,30527196422,""COOP. RURAL LTDA. """"ALFA""""."",5,5,7,Sudeste Buenos Aires";2027T
