"Numero de coop","CUIT","Población","Nombre completo","Cod_Nombre","Nombre_corto","D.E.","D.E. Nombre","CAR","CAR Nombre","Ctro Contacto","Votos Consec","Votos Asoc","Total votos","Mail principal","Mail copia","Invitacion","CodVerificador"
"3","30529717233","ALCORTA","Cooperativa Agropecuaria de Alcorta Ltda.","3 - Cooperativa Agropecuaria de Alcorta Ltda.","COOP. AGROP. DE ALCORTA LTDA.","8","Sur de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","1","1","unionalcorta@gmail.com",,"Verdadero","51CYD"
"482","30529491448","ALVAREZ","Cooperativa Agropecuaria Federada de Alvarez y Piñero","482 - Cooperativa Agropecuaria Federada de Alvarez y Piñero","COOP. AGROP. FED. DE ALVAREZ Y PIÑ","3","Centro de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","1","1","coopalvarezgte@gmail.com",,"Verdadero","EWKLA"
"9","33533717999","ARMSTRONG","Cooperativa Agropecuaria de Armstrong Ltda.","9 - Cooperativa Agropecuaria de Armstrong Ltda.","COOP. AGROPEC. DE ARMSTRONG LTDA","3","Centro de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","2","2","dpetinari@cadalcoop.com.ar","pulmari@cadalcoop.com.ar; amartinez@cadalcoop.com.ar; gsaburetti@cadalcoop.com.ar","Verdadero","CPYHX"
"498","30503019791","BARRANCAS","Cooperativa Agrícola Ganadera La Unión Ltda.","498 - Cooperativa Agrícola Ganadera La Unión Ltda.","COOP. AGR.GANAD.LA UNION LTDA.BAR","8","Centro de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","2","2","franco_8706@hotmail.com","cesarlaunion@cosmol.com.ar; francoblaunion@cosmol.com.ar","Verdadero","C3US8"
"435","30531943909","BERABEVU","Cooperativa Agrícola Ganadera de Berabevú Ltda.","435 - Cooperativa Agrícola Ganadera de Berabevú Ltda.","COOP. AGRIC. GAN. DE BERABEVU LT","8","Sur de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","2","2","gerencia@coopberabevu.com.ar; mauroventuri@coopberabevu.com.ar;","contaduria@coopberabevu.com.ar; germangmerlo@gmail.com","Verdadero","P8E8S"
"516","30508118690","BERNARDO DE IRIGOYEN","Cooperativa Agrícola Ganadera Bernardo de Irigoyen","516 - Cooperativa Agrícola Ganadera Bernardo de Irigoyen","COOP. AGRIC GANAD. B. DE IRIGOYEN LT","3","Centro de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","2","2","cagbilgerencia@cosmol.com.ar","cooperativabdoirigoyen@gmail.com","Verdadero","82J2W"
"456","30533294606","BIGAND","Cooperativa Agropecuaria de Bigand Ltda.","456 - Cooperativa Agropecuaria de Bigand Ltda.","COOP. AGROPECUARIA DE BIGAND LTDA","8","Sur de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","2","2","gerencia@cooperativabigand.com.ar","comercial@cooperativabigand.com.ar; caja@cooperativabigand.com.ar","Verdadero","92S9X"
"510","30533860164","BOMBAL","Cooperativa Agropecuaria de Bombal Ltda.","510 - Cooperativa Agropecuaria de Bombal Ltda.","COOP. AGROPECUARIA DE BOMBAL LTDA.","8","Sur de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","1","1","coop.agrop.bombal@bombal.net.ar",,"Verdadero","C7QLE"
"479","30532481100","BOUQUET","Cooperativa Agrícola Ganadera Bouquet Ltda.","479 - Cooperativa Agrícola Ganadera Bouquet Ltda.","COOP. AGRIC.GANAD.BOUQUET LTDA","3","Centro de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","2","2","gerencia@coopbouquet.com.ar","insumoscoop@redcrs.com.ar","Verdadero","BHFN3"
"32","30529251331","CAÑADA DE GOMEZ","Agrícola Mixta de Cañada de Gómez Ltda.","32 - Agrícola Mixta de Cañada de Gómez Ltda.","COOP. AGRIC.MIXTA LTDA. C. GOMEZ","3","Centro de Santa Fé","3","Centro y Sur de Santa Fe","SUC. ROSARIO","0","1","1","muscio@acacoop.com.ar","muscio@acacoop.com.ar","Verdadero","XNJOJ"
